,listing_id,avg_museum_rating,avg_restaurant_rating
383,84059,3.0,4.3
384,84251,2.4,4.28
385,84480,3.15,3.74
386,84659,2.7,4.42
387,84905,1.6,3.9
388,86215,2.2,4.36
389,87279,2.6,3.91
390,88329,2.05,4.38
391,89621,2.8,3.93
392,92894,2.4,4.13
393,93313,2.5,4.08
394,94035,2.05,4.36
395,94209,3.0,4.15
396,94477,1.85,3.98
397,94783,3.1,4.33
398,94833,2.9,4.08
399,95211,2.3,4.06
400,95747,2.55,4.37
401,95883,2.5,4.4
402,96471,2.85,4.17
403,99070,3.2,4.14
404,100002,3.05,4.12
405,100023,3.15,4.26
406,100184,1.8,3.88
407,100186,2.9,4.07
408,103161,2.65,4.25
409,103806,2.4,4.33
410,105469,2.62,4.29
411,105790,2.7,3.84
412,106363,2.85,4.1
413,106647,2.65,4.35
414,106906,2.85,4.21
415,107630,2.8,4.3
416,110576,2.6,4.12
417,110739,2.0,4.31
418,112304,2.8,4.18
419,112359,2.9,4.04
420,112435,2.2,4.2
421,113092,2.15,3.98
422,113265,3.0,4.3
423,114229,2.15,4.19
424,115535,2.95,4.14
425,115678,2.6,4.18
426,115748,2.0,4.49
427,116940,3.0,4.1
428,117425,2.5,4.04
429,118061,2.35,4.26
430,118680,2.5,3.96
431,121473,2.8,4.44
432,121861,2.8,4.19
433,123784,2.85,4.28
434,125053,2.05,4.39
435,125163,2.35,4.34
436,125265,2.2,4.02
437,125594,3.05,4.19
438,126443,2.9,4.28
439,126816,2.95,4.14
440,127387,2.9,4.08
441,128975,2.35,4.02
442,130439,2.9,4.15
443,131154,2.65,4.34
444,132516,2.35,4.12
445,132570,3.55,4.18
446,132695,2.55,4.3
447,133025,2.3,4.24
448,134934,2.65,4.32
449,135393,3.65,3.91
450,135465,2.6,4.2
451,135706,2.15,4.15
452,136493,2.65,4.3
453,136528,2.75,4.08
454,137121,2.55,4.3
455,137671,2.65,4.03
456,138216,3.0,4.02
457,139624,3.0,4.35
458,140053,2.9,4.11
459,140133,2.65,4.37
460,140195,3.2,4.13
461,140425,3.1,4.26
462,140973,2.8,4.34
463,141154,2.75,4.16
464,141335,2.85,4.28
465,141890,2.4,4.26
466,141984,1.8,4.36
467,142069,2.45,4.26
468,144087,2.8,4.03
469,144148,2.5,4.22
470,145064,2.65,4.35
471,145188,2.3,4.21
472,145777,3.1,4.33
473,146754,2.65,4.12
474,147586,2.85,4.11
475,148201,3.0,4.36
476,148259,2.35,4.44
477,148825,3.25,4.1
478,149287,3.1,4.18
479,149777,2.4,4.23
480,150804,2.2,4.44
481,151199,2.25,4.19
482,152071,2.85,4.34
483,152078,2.2,4.24
484,152259,2.4,4.0
485,152263,2.6,4.14
486,152520,2.5,4.15
487,153405,2.8,4.5
488,153780,2.4,4.4
489,154934,3.15,4.06
490,155296,2.65,4.66
491,157162,1.95,4.24
492,157431,3.25,4.04
493,157442,2.65,4.38
494,157673,2.6,3.87
495,158061,1.95,3.88
496,158176,2.65,4.24
497,158913,2.85,4.35
498,158955,2.8,4.15
499,159019,2.6,4.29
500,159749,2.6,3.94
501,159815,2.6,3.96
502,159913,1.95,4.09
503,160609,2.8,4.11
504,160994,2.0,4.24
505,161366,2.5,4.21
506,161394,2.55,4.26
507,161996,2.9,4.02
508,162493,2.65,4.54
509,162508,3.25,4.21
510,162565,2.3,4.11
511,163627,2.65,4.45
512,163809,2.8,4.17
513,163814,2.15,4.32
514,163836,2.85,4.1
515,164989,1.8,4.23
516,165080,2.9,4.33
517,165461,2.6,4.03
518,165573,2.6,4.65
519,165824,2.3,4.22
520,165919,1.8,4.29
521,166006,2.95,4.24
522,166172,1.8,4.27
523,166541,3.3,4.03
524,166983,2.85,4.38
525,167013,2.45,4.08
526,167017,2.8,4.3
527,167482,2.55,4.06
528,168084,2.2,4.28
529,168123,2.65,4.2
530,168546,3.05,4.06
531,169152,2.65,3.99
532,169306,2.65,3.84
533,169464,2.65,4.52
534,170084,2.75,4.02
535,170420,3.2,4.24
536,170761,2.4,4.23
537,171776,3.05,4.07
538,171811,2.3,4.4
539,172445,1.8,4.24
540,172499,2.55,4.22
541,173072,2.6,4.11
542,173151,2.65,4.5
543,173742,2.45,4.1
544,174527,1.95,4.06
545,174668,3.55,4.08
546,174966,2.75,4.15
547,175069,2.6,3.98
548,176135,3.3,4.29
549,176653,2.0,4.28
550,176962,2.3,4.44
551,177421,2.65,4.27
552,177606,2.55,4.07
553,179670,2.3,4.34
554,180507,2.25,4.12
555,180792,2.25,4.18
556,181522,2.65,4.08
557,181972,3.1,4.16
558,182069,3.15,3.94
559,182095,1.95,4.36
560,182177,2.85,4.03
561,182649,2.6,4.33
562,182727,2.65,4.41
563,185266,2.4,4.35
564,185478,2.2,4.27
565,186305,2.3,4.41
566,186871,2.1,4.41
567,187488,2.55,4.31
568,187566,2.45,4.33
569,187671,1.85,4.07
570,187979,2.6,4.49
571,187986,1.75,3.86
572,188661,2.8,4.03
573,188674,2.7,4.26
574,188803,2.4,4.13
575,189135,2.65,4.23
576,189732,2.25,3.95
577,189787,3.45,3.95
578,190267,2.05,4.16
579,190542,2.25,4.28
580,190968,3.05,4.27
581,190974,2.4,4.19
582,191075,2.45,4.22
583,191541,2.3,4.18
584,193333,2.65,4.31
585,193393,2.75,4.23
586,193853,2.15,4.32
587,195027,1.9,4.11
588,195123,2.9,3.84
589,195233,3.3,4.39
590,195240,3.3,4.38
591,195989,2.8,4.18
592,196010,2.6,4.18
593,197155,2.7,4.24
594,197753,2.9,4.07
595,197903,3.05,3.98
596,197942,2.65,4.26
597,198028,1.85,4.22
598,198629,3.15,4.14
599,199195,2.9,4.23
600,199312,2.55,4.35
601,200645,2.35,4.01
602,200955,1.85,3.98
603,201173,2.05,4.49
604,201992,2.6,4.17
605,202273,2.7,4.12
606,203901,2.45,4.06
607,204065,2.45,4.3
608,204833,2.65,4.24
609,204959,1.6,3.89
610,205043,2.35,3.76
611,205485,2.6,3.89
612,205735,2.3,4.03
613,205867,2.75,4.22
614,206071,3.1,4.17
615,206316,2.4,4.38
616,206772,2.6,4.26
617,206957,2.25,4.11
618,208148,2.65,4.34
619,208889,2.2,4.1
620,209310,2.45,4.12
621,211078,2.65,4.36
622,211974,2.0,4.18
623,212109,2.35,4.14
624,212178,2.35,3.85
625,212544,3.0,4.27
626,213841,3.35,4.11
627,214474,3.15,4.26
628,214917,3.05,4.08
629,215560,2.45,4.3
630,215784,2.25,4.2
631,215907,3.4,4.15
632,216015,2.6,4.23
633,217580,3.15,4.17
634,217660,2.55,4.29
635,218358,2.6,4.15
636,219066,2.45,3.98
637,219793,2.2,4.46
638,219818,2.0,4.4
639,219922,2.7,4.07
640,220351,2.85,4.12
641,220563,2.65,4.28
642,220739,2.05,4.4
643,220946,2.55,4.36
644,221043,2.65,4.16
645,221618,3.0,3.91
646,222054,2.8,4.24
647,222304,1.95,4.22
648,222913,2.05,4.21
649,223930,3.3,4.37
650,224510,3.0,4.41
651,225297,2.4,4.31
652,225306,2.9,4.27
653,225887,2.6,4.24
654,225926,2.6,4.39
655,225976,3.5,4.29
656,226021,2.55,4.28
657,227715,2.8,4.05
658,228317,2.3,4.24
659,228496,1.95,4.34
660,228925,2.6,3.96
661,229212,2.85,4.22
662,229367,2.2,4.25
663,229874,2.9,4.24
664,229965,2.65,4.18
665,230854,3.35,3.92
666,230877,3.15,4.13
667,230956,1.95,4.6
668,231154,2.1,3.56
669,231194,2.8,4.17
670,231414,2.8,4.44
671,232612,2.6,3.91
672,232618,3.2,3.98
673,233189,2.45,3.91
674,233638,1.8,3.96
675,234034,2.6,4.11
676,234184,2.4,4.05
677,234330,3.05,4.14
678,234814,1.9,4.49
679,235281,2.0,4.4
680,235515,2.3,3.77
681,235552,2.7,4.32
682,235651,2.1,4.18
683,235960,2.2,4.44
684,236267,2.45,4.19
685,236671,2.65,4.22
686,236788,2.05,4.12
687,236806,2.5,4.16
688,237127,2.45,4.08
689,237162,2.5,3.83
690,237210,2.9,4.32
691,238119,2.3,4.39
692,238208,2.6,4.06
693,239055,1.4,4.37
694,239733,1.85,4.36
695,239766,1.9,4.22
696,239826,2.65,4.17
697,239883,2.85,4.22
698,239899,2.9,4.25
699,240800,3.3,4.38
700,241140,2.65,4.39
701,241159,2.25,4.14
702,241538,2.45,4.13
703,241588,3.2,4.07
704,242479,2.0,4.16
705,242532,2.65,4.36
706,242643,2.9,4.13
707,243229,2.8,3.92
708,243708,2.3,4.47
709,245504,2.4,4.06
710,245544,2.85,3.89
711,245574,2.25,4.27
712,246134,2.8,4.21
713,246351,2.45,4.09
714,246916,2.75,4.17
715,246938,1.85,4.14
716,247562,2.3,3.77
717,248713,2.55,4.32
718,248717,2.6,4.38
719,248871,3.45,4.46
720,248946,2.05,3.79
721,249414,2.45,4.27
722,249704,3.05,4.19
723,249867,1.95,3.87
724,250259,2.65,4.29
725,250311,2.9,4.26
726,250536,2.4,3.96
727,250537,2.4,3.95
728,250801,3.05,4.34
729,251262,2.65,4.36
730,252076,1.9,4.51
731,252607,3.2,4.09
732,253332,2.7,4.33
733,253358,1.9,4.28
734,253466,2.75,4.34
735,253471,2.75,4.34
736,253590,3.05,4.15
737,253623,2.35,4.2
738,253806,2.95,4.31
739,253811,2.75,4.32
740,253828,2.95,4.31
741,254131,2.5,4.1
742,254409,2.85,4.14
743,254790,2.65,4.34
744,255024,1.8,4.14
745,255476,2.3,4.4
746,255601,2.25,4.3
747,255637,3.3,4.17
748,255672,3.05,4.35
749,255957,2.2,4.3
750,255996,1.95,4.23
751,256078,2.75,4.24
752,256153,2.25,3.66
753,256281,2.9,4.14
754,256328,2.0,4.22
755,256369,2.35,4.11
756,257097,2.65,4.12
757,257568,2.5,4.21
758,257686,2.55,4.23
759,258284,2.45,4.38
760,258397,2.6,4.38
761,258686,1.85,4.09
762,258688,2.35,4.1
763,258690,1.95,4.27
764,258740,2.6,4.31
765,258838,3.3,4.31
766,258876,3.55,4.31
767,259946,3.55,4.31
768,260451,2.2,4.19
769,260618,3.5,3.95
770,260672,2.7,4.13
771,260765,2.1,4.22
772,261259,3.45,4.22
773,261344,2.6,3.99
774,261674,2.2,4.24
775,261781,2.6,4.32
776,262343,2.25,4.43
777,262405,3.85,4.05
778,262478,2.1,4.22
779,263005,2.45,4.01
780,263502,2.65,4.41
781,263776,2.75,4.29
782,263888,2.55,4.16
783,264116,2.85,3.99
784,264323,2.65,3.95
785,265036,3.45,4.14
786,265064,2.5,4.11
787,265145,2.8,4.1
788,265506,2.3,4.21
789,265831,1.8,4.22
790,266146,2.35,4.39
791,266155,2.35,4.21
792,266351,2.4,4.36
793,266437,2.15,4.2
794,266449,2.2,4.26
795,266756,1.6,4.38
796,267435,2.6,4.17
797,267535,2.4,3.88
798,267652,3.1,4.21
799,267708,3.15,4.04
800,268392,3.55,4.0
801,268439,2.6,4.07
802,268481,2.35,4.46
803,269283,3.2,4.22
804,269289,2.5,4.01
805,270139,2.05,4.38
806,270165,1.75,3.94
807,270231,2.25,4.36
808,270315,2.2,4.21
809,270345,2.0,4.32
810,270751,2.5,4.41
811,271043,2.8,4.15
812,271128,2.7,4.21
813,271130,2.85,4.22
814,271954,2.45,4.36
815,272026,2.6,4.11
816,272044,2.7,4.17
817,272146,2.55,4.05
818,272706,2.2,4.14
819,273190,2.9,4.17
820,273256,3.1,4.21
821,273895,2.45,4.41
822,274062,2.9,4.04
823,274329,1.8,4.27
824,274743,2.0,4.09
825,275339,2.3,4.27
826,275443,2.7,4.32
827,275976,2.2,3.98
828,276021,2.65,4.45
829,276216,2.7,4.46
830,276317,2.85,4.36
831,276482,2.7,4.01
832,276994,2.6,4.16
833,277207,2.65,4.53
834,277370,2.5,4.2
835,278090,3.2,4.22
836,278145,1.9,4.24
837,278197,2.8,3.53
838,278876,3.45,3.99
839,279440,2.8,4.07
840,279446,2.8,4.01
841,279857,2.65,4.27
842,279969,2.3,3.86
843,280046,2.3,4.05
844,280315,3.0,4.25
845,280393,2.45,4.08
846,281521,2.35,4.34
847,281703,1.95,4.39
848,281842,2.6,4.15
849,281851,2.6,4.15
850,282341,3.1,4.13
851,282443,1.85,4.49
852,282514,2.3,4.34
853,282863,3.05,4.11
854,282977,2.6,4.37
855,283072,2.25,3.93
856,283090,2.65,4.41
857,283550,2.3,3.98
858,284208,2.65,4.26
859,284855,3.25,4.23
860,285442,2.7,4.17
861,285716,1.8,4.26
862,286662,3.45,4.32
863,286838,2.6,4.08
864,287292,2.6,4.42
865,287397,2.2,4.11
866,287408,2.55,4.14
867,287417,2.3,4.02
868,287421,3.1,4.46
869,287481,2.8,4.12
870,287814,2.6,4.33
871,287839,2.1,3.79
872,287845,2.85,4.34
873,288043,2.35,4.1
874,289020,2.3,4.08
875,289037,2.85,4.21
876,289288,2.05,4.41
877,289665,3.2,4.32
878,289703,2.4,4.22
879,289995,2.65,4.41
880,290123,2.15,4.01
881,290193,3.3,4.04
882,290457,1.4,3.92
883,291524,3.0,4.07
884,291764,2.85,4.28
885,291812,1.75,4.14
886,292047,2.35,4.28
887,292121,2.3,4.12
888,292266,1.8,3.89
889,292324,2.7,4.39
890,292361,2.25,4.13
891,292637,3.3,4.21
892,292954,3.3,4.36
893,293004,2.8,4.16
894,294239,1.8,4.35
895,294250,2.2,4.25
896,294297,2.6,4.45
897,294353,2.0,4.39
898,294717,2.3,4.41
899,295231,2.55,4.12
900,296345,2.95,4.24
901,296361,2.8,3.92
902,296658,3.3,3.79
903,296717,2.65,4.23
904,296844,2.65,4.33
905,297611,2.4,4.17
906,297698,2.15,4.09
907,297938,3.3,4.06
908,297962,2.5,4.57
909,298782,2.6,4.13
910,298854,2.95,4.44
911,299062,1.9,4.25
912,299078,2.75,4.48
913,299531,2.65,3.69
914,301034,2.8,3.95
915,301372,2.8,3.97
916,302017,2.05,3.92
917,302057,3.3,4.33
918,302238,2.65,4.21
919,302280,2.45,3.84
920,302309,2.45,4.11
921,302758,3.2,4.15
922,303264,2.85,4.39
923,303345,3.2,4.0
924,303462,2.35,4.06
925,303725,2.4,4.41
926,303851,2.7,3.86
927,304799,2.4,4.08
928,305211,2.65,4.27
929,305245,2.65,4.03
930,305667,3.0,4.04
931,306702,2.4,4.27
932,306799,1.8,4.34
933,310220,2.85,4.53
934,310272,3.55,4.16
935,310325,3.05,4.07
936,310338,3.1,4.26
937,310524,2.4,4.05
938,310796,2.35,4.38
939,311003,2.85,4.11
940,311343,3.15,4.19
941,311356,1.8,4.04
942,312429,3.3,4.17
943,313890,2.85,4.03
944,314442,3.25,3.99
945,314982,2.7,4.16
946,316238,2.45,4.33
947,317838,3.35,4.41
948,317905,3.1,3.89
949,317938,2.65,4.22
950,318021,2.85,3.96
951,318187,2.05,4.39
952,319724,2.6,4.27
953,319798,3.05,4.34
954,319844,2.65,4.36
955,320865,2.4,3.99
956,320876,2.65,4.33
957,320877,2.65,4.51
958,321014,2.1,4.13
959,321136,3.1,3.82
960,321902,2.7,4.17
961,322037,2.65,4.32
962,322604,2.65,4.32
963,322974,2.3,4.29
964,323453,2.05,4.54
965,323706,2.35,3.98
966,324115,2.65,4.3
967,324517,2.2,4.13
968,324800,2.55,4.33
969,325429,2.0,4.18
970,325710,2.2,4.3
971,326832,2.0,4.19
972,326956,2.65,4.32
973,327521,2.1,4.41
974,328744,3.5,3.99
975,329064,2.9,3.81
976,329310,1.85,4.15
977,329385,2.2,3.86
978,331854,3.3,4.36
979,333189,2.65,4.46
980,333323,2.7,4.15
981,333472,2.15,4.02
982,334607,2.65,4.37
983,334781,2.9,4.11
984,335797,3.1,3.82
985,335819,3.1,3.65
986,335820,3.1,3.75
987,336220,3.1,4.05
988,337708,2.3,3.97
989,341314,2.65,4.18
990,341525,2.15,4.14
991,341982,2.6,4.08
992,342027,2.0,4.21
993,342264,3.05,4.14
994,342995,2.4,3.88
995,343276,2.2,4.26
996,343971,3.1,4.03
997,344019,3.45,4.35
998,344068,2.6,4.28
999,344092,3.0,4.13
1000,346248,2.95,4.34
1001,346579,2.0,4.38
1002,346805,1.9,4.16
1003,347865,2.3,4.33
1004,349841,2.6,4.7
1005,350525,3.45,4.08
1006,351530,3.05,4.23
1007,351859,2.15,3.59
1008,352651,3.45,4.29
1009,353317,2.05,4.54
1010,353801,2.65,4.17
1011,354095,2.0,4.21
1012,355106,2.9,4.11
1013,356723,2.85,4.19
1014,357224,1.8,4.04
1015,358283,2.7,4.34
1016,359689,2.55,4.31
1017,359982,2.7,4.23
1018,360400,2.15,4.27
1019,361334,2.85,4.05
1020,361803,1.85,4.3
1021,363320,3.55,4.06
1022,363673,3.05,4.07
1023,364785,3.05,4.22
1024,365227,2.45,4.04
1025,367042,3.45,3.97
1026,369411,2.3,4.55
1027,369567,3.3,4.39
1028,369671,2.0,4.24
1029,369831,3.3,3.89
1030,371138,2.75,4.09
1031,371835,2.15,4.22
1032,373618,2.85,4.35
1033,374548,2.4,4.27
1034,375249,3.05,4.07
1035,375977,2.75,4.33
1036,377217,2.55,4.19
1037,378790,2.65,4.27
1038,378852,2.0,4.23
1039,380416,2.6,4.38
1040,380730,2.45,4.14
1041,382523,2.6,4.2
1042,382524,2.8,4.09
1043,385190,3.0,4.17
1044,385657,2.05,4.54
1045,385824,2.8,4.0
1046,385853,3.4,4.01
1047,386507,2.4,4.14
1048,386555,3.55,4.2
1049,386744,2.25,4.18
1050,387324,2.55,4.05
1051,387377,3.25,4.05
1052,387666,3.15,4.03
1053,387735,2.55,4.2
1054,387883,2.8,4.35
1055,389482,2.7,4.07
1056,391955,3.7,4.56
1057,392948,2.65,4.45
1058,393016,2.35,4.23
1059,393094,2.35,3.8
1060,393479,3.2,4.06
1061,393682,2.0,4.28
1062,393868,3.25,4.14
